Supplier Name,Supplier ID,Payment Date,Amount,Spend Area, Account Code,Account Description,Internal Reference Number
ADDICTION RECOVERY CENTRE,U09794,22/12/2011,"1,000.00",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1259510,1"
ADDICTION RECOVERY CENTRE,U09794,22/12/2011,"2,500.00",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1259509,1"
ADDICTION RECOVERY CENTRE,U09794,28/12/2011,"2,000.00",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1260116,1"
ADDICTION RECOVERY CENTRE,U09794,28/12/2011,"2,000.00",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1260123,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,512.66,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256717,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,518.25,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256531,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,518.64,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254803,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,520.09,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1255740,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,525.61,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256687,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,531.54,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1255736,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,535.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254753,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,535.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254757,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,547.92,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254842,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,550.96,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256694,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,606.84,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256556,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,614.16,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256547,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,628.80,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254677,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,638.08,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256560,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,639.82,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256606,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,640.40,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254736,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,640.40,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254759,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,654.94,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256685,2"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,675.40,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256536,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,746.72,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256665,2"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,749.62,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256654,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,750.20,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256552,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,764.84,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256551,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,830.72,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1256534,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,850.00,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254809,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,861.31,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254817,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,865.12,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1254756,1"
ALLIED HEALTHCARE GROUP LTD,C22436,12/12/2011,908.56,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1202848,1"
