Supplier Name,Supplier ID,Payment Date,Amount,Spend Area, Account Code,Account Description,Internal Reference Number
ACCREDO SUPPORT & DEVELOPMENT,CM2440,27/02/2012,526.50, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270497,1"
ADVANCE HOUSING & SUPPORT LTD,CM942Z,16/02/2012,"1,176.00", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1268879,1"
ADVOCACY ALLIANCE APPOINTEE ACCOUNT,D10351,14/02/2012,500.00, PEOPLE GROUP,N7BA,COUNCELLING SERVICES EXTERNAL,"SS1269269,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,521.90, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266515,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,522.84, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266655,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,533.22, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266210,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,547.24, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267719,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,547.34, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266081,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,557.70, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266241,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,574.08, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266072,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,582.76, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267730,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,593.00, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266196,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,631.34, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266479,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,636.34, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266184,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,646.56, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267104,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,646.92, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266231,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,670.58, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266183,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,730.92, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266720,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,741.14, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266657,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,755.78, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266658,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,756.36, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266503,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,837.75, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266477,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,840.94, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266445,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,851.67, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266181,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,892.18, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266199,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,899.50, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266247,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,906.71, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266653,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,949.18, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267737,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,951.79, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266193,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,006.90", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267825,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,070.18", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267733,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,278.48", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267529,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,286.38", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266185,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,421.62", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266074,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,531.42", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266075,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,583.46", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267563,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"1,964.10", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266211,1"
ALLIED HEALTHCARE GROUP LTD,C22436,06/02/2012,"2,022.08", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1266202,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/02/2012,551.06, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1268320,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/02/2012,636.64, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1268325,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/02/2012,747.24, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1268334,2"
ALLIED HEALTHCARE GROUP LTD,C22436,16/02/2012,"1,120.51", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1269417,2"
ALLIED HEALTHCARE GROUP LTD,C22436,16/02/2012,"1,232.24", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1269631,1"
ALLIED HEALTHCARE GROUP LTD,C22436,23/02/2012,674.50, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270161,1"
ALLIED HEALTHCARE GROUP LTD,C22436,23/02/2012,"1,433.76", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270133,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,553.86, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270502,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,648.08, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270533,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,653.30, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1243394,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,653.88, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270511,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,653.88, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270517,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,654.46, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270519,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,678.05, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1243347,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,880.91, PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270456,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,"1,006.90", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1267726,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,"1,070.91", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270536,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,"1,100.48", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270499,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,"1,102.94", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270553,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,"1,439.16", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270460,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,"1,700.00", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270462,1"
ALLIED HEALTHCARE GROUP LTD,C22436,27/02/2012,"1,716.96", PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270469,1"
