Supplier Name,Supplier ID,Payment Date,Amount,Spend Area, Account Code,Account Description,Internal Reference Number
ACCREDO SUPPORT & DEVELOPMENT,CM2440,09/01/2012,523.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261178,1"
ADVANCED HEALTH & CARE,U07970,12/01/2012,500.20,PEOPLE GROUP,4D10,TELEPHONES,"SS1258262,1"
AGE UK WARWICKSHIRE LTD,U02370,16/01/2012,"13,291.20",PEOPLE GROUP,D15A,DAYCENTRE - ADULT/ ELDERLY EXTERNAL,"SS1262937,1"
AGE UK WARWICKSHIRE LTD,C22420,12/01/2012,"1,190.24",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1262260,1"
AGE UK WARWICKSHIRE LTD,C22420,12/01/2012,"19,885.50",PEOPLE GROUP,4R10,SERVICE LEVEL AGREEMENTS,"SS1262231,1"
AGE UK WARWICKSHIRE LTD,C22420,26/01/2012,"17,418.46",PEOPLE GROUP,4R10,SERVICE LEVEL AGREEMENTS,"SS1265581,1"
AGE UK WARWICKSHIRE LTD,C22420,19/01/2012,"10,683.38",PEOPLE GROUP,4R1C,SLA - CARERS,"SS1264103,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,507.04,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260145,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,525.38,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260986,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,535.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259918,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,535.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259933,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,535.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260493,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,542.30,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260497,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,545.02,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261357,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,547.92,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259929,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,558.28,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261086,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,576.98,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261126,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,606.84,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261120,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,620.90,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261070,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,632.21,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261154,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,632.50,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261056,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,633.08,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261025,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,640.40,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259930,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,655.04,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259935,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,663.84,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261143,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,756.36,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261139,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,786.80,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260495,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,838.62,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261087,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,842.68,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260511,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,850.00,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259880,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,861.02,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261136,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,875.62,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261049,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,878.92,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260864,2"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,895.08,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261176,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,908.56,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259886,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,944.80,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261112,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,990.24,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1261311,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,"1,013.36",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1259909,1"
ALLIED HEALTHCARE GROUP LTD,C22436,09/01/2012,"1,040.32",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1260146,1"
