Supplier Name,Supplier ID,Payment Date,Amount,Spend Area, Account Code,Account Description,Internal Reference Number
ACCREDO SUPPORT & DEVELOPMENT,CM2440,29/03/2012,"1,047.20",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1276589,1"
ADVOCACY ALLIANCE APPOINTEE ACCOUNT,D10351,27/03/2012,505.00,PEOPLE GROUP,N7BA,COUNCELLING SERVICES EXTERNAL,"SS1276098,1"
ADVOCACY ALLIANCE APPOINTEE ACCOUNT,D10351,27/03/2012,505.00,PEOPLE GROUP,N7BA,COUNCELLING SERVICES EXTERNAL,"SS1276099,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,501.48,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270196,2"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,523.64,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270182,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,534.73,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270607,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,541.18,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1271049,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,547.34,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270181,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,560.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270796,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,595.46,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270608,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,596.62,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270824,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,612.52,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270647,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,636.92,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270346,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,639.24,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270348,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,646.56,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270800,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,703.96,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270666,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,756.36,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270596,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,771.00,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270347,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,833.04,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270601,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,849.89,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270600,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,859.86,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270352,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,906.82,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270619,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,950.16,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270795,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,012.20",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1271048,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,100.62",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270624,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,171.36",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270602,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,278.48",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270354,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,289.17",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270890,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,428.94",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270635,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,531.42",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270356,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,583.46",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270355,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,906.12",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270597,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"1,964.68",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1271046,1"
ALLIED HEALTHCARE GROUP LTD,C22436,05/03/2012,"2,022.08",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1270353,1"
ALLIED HEALTHCARE GROUP LTD,C22436,15/03/2012,524.16,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1273857,1"
ALLIED HEALTHCARE GROUP LTD,C22436,15/03/2012,658.32,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1273950,1"
ALLIED HEALTHCARE GROUP LTD,C22436,15/03/2012,680.16,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1273929,1"
ALLIED HEALTHCARE GROUP LTD,C22436,15/03/2012,926.48,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1273855,1"
ALLIED HEALTHCARE GROUP LTD,C22436,15/03/2012,"1,896.96",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1273856,1"
