Supplier Name,Supplier ID,Payment Date,Amount,Spend Area, Account Code,Account Description,Internal Reference Number
A.L.A CARE LTD,CI7562,10/11/2011,"1,680.64",PEOPLE GROUP,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1249138,1"
AALPS COLLEGE (MIDLANDS),CM411Z,10/11/2011,"6,000.00",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1248923,1"
ABBEYFIELD COVENTRY SOCIETY LTD,C20623,10/11/2011,"8,417.53",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1249325,1"
ABTS SUCCESSFUL TEAMS LTD,CD9386,17/11/2011,748.60,PEOPLE GROUP,1G04,TRAINERS FEES & EXPS.,"SS1250300,1"
ACORN FOSTERING SERVICES LTD,CG1060,10/11/2011,"2,844.64",PEOPLE GROUP,F03A,FOSTER CARE - EXTERNAL,"ED1245191,1"
ACORN FOSTERING SERVICES LTD,CG1060,10/11/2011,"5,878.92",PEOPLE GROUP,F03A,FOSTER CARE - EXTERNAL,"ED1234205,1"
ACTION FOR BLIND PEOPLE,U08675,14/11/2011,"2,500.00",PEOPLE GROUP,1G06,COMPUTER TRAINING,"SS1250505,1"
ACTION FOR CHILDREN,CG3329,03/11/2011,"148,823.75",PEOPLE GROUP,R68A,RESPITE - EXTERNAL,"ED1243932,1"
ADELAIDE HOUSE,D10330,10/11/2011,"2,119.80",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1248929,1"
ADELAIDE HOUSE,D10330,10/11/2011,"2,280.00",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1248929,2"
ADOPTION SUPPORT,CG3347,07/11/2011,"4,500.00",PEOPLE GROUP,3960,SUBSCRIPTIONS TO ORGANISATIONS,"ED1243281,1"
ALBANY CHAUFFEURS,D10422,03/11/2011,540.00,COMMUNITIES GROUP,CF01,SCHOOL TRANSPORT PAYMENTS,"PT377398,1"
ALBANY CHAUFFEURS,D10422,03/11/2011,760.00,COMMUNITIES GROUP,CF07,SEN 16 - 19,"PT377396,1"
ALBANY CHAUFFEURS,D10422,03/11/2011,"1,140.00",COMMUNITIES GROUP,CF07,SEN 16 - 19,"PT377397,1"
ALBANY HOUSE,D10424,10/11/2011,"1,282.12",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248930,4"
ALBANY HOUSE,D10424,10/11/2011,"1,399.32",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248930,2"
ALBANY HOUSE,D10424,10/11/2011,"1,446.12",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248930,3"
ALBANY HOUSE,D10424,10/11/2011,"1,741.12",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248930,1"
ALBEMARLE REST HOME,D10425,10/11/2011,"2,180.00",PEOPLE GROUP,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1248931,1"
ALBEMARLE REST HOME,D10425,10/11/2011,"2,320.00",PEOPLE GROUP,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1248931,3"
ALBEMARLE REST HOME,D10425,10/11/2011,"2,340.00",PEOPLE GROUP,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1248931,4"
ALBEMARLE REST HOME,D10425,10/11/2011,"2,360.00",PEOPLE GROUP,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1248931,2"
ALBEMARLE REST HOME,D10425,10/11/2011,"2,400.00",PEOPLE GROUP,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1248931,5"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,330.24",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,10"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,366.84",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,4"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,521.44",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,7"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,521.44",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,1"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,521.44",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,6"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,521.44",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,3"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,521.44",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,5"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,521.44",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,9"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,946.64",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,8"
ALLAMBIE COURT NURSING HOME,C22430,10/11/2011,"1,946.64",PEOPLE GROUP,R61A,RESIDENTIAL NURSING EXTERNAL,"SS1248933,2"
ALLAMBIE ENTERPRISES,U07890,10/11/2011,"1,528.00",PEOPLE GROUP,R67A,RESIDENTIAL CARE EXTERNAL,"SS1248934,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,504.00,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1247253,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,507.62,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249422,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,520.67,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248375,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,524.62,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248804,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,532.12,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248388,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,535.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248383,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,547.92,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248387,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,564.32,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1250270,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,565.60,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249418,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,578.18,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248808,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,628.80,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249401,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,628.80,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249426,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,640.40,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249363,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,644.63,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249666,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,647.14,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249653,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,663.70,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1247255,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,676.28,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1250272,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,693.96,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249500,2"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,749.62,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249389,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,757.52,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249372,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,764.84,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248395,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,854.42,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248825,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,861.02,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249373,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,867.72,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248373,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,908.56,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249420,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,990.24,PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249679,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,008.36",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248379,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,017.02",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249500,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,037.05",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248828,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,041.58",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249674,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,099.96",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248378,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,190.64",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249431,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,273.48",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249267,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,280.80",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248389,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,431.84",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249417,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,454.16",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248832,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,498.19",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248803,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,587.52",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1249646,1"
ALLIED HEALTHCARE GROUP LTD,C22436,14/11/2011,"1,851.26",PEOPLE GROUP,H21A,HOMECARE EXTERNAL,"SS1248380,1"
