Trans No,Supplier,Amount,Directorate,Pay Date
12252,123 Reg Ltd,9.99,Resources,10/08/2021
3214,123 Reg Ltd,1.00,Resources,15/08/2021
4774,123 Reg Ltd,0.99,Resources,20/08/2021
4660,123 Reg Ltd,19.98,Resources,30/08/2021
3813,1mb Tech,4.00,Communities,06/08/2021
12595,2maa026776049 Td E-Pmt,75.00,People,06/08/2021
13174,2maa026896752 Td E-Pmt,75.00,People,16/08/2021
160,Absolute Locksmith,140.00,People,13/08/2021
29313,Adobe Dw Creative Cld,12.64,Resources,31/08/2021
6013,Aimuseums,98.00,Communities,12/08/2021
4648,Airbnb * Hme3eswr4w,1789.20,People,04/08/2021
4558,Airbnb * Hme3eswr4w,1473.46,People,18/08/2021
1503,Airbnb * Hmsfrsn9nw,452.00,People,10/08/2021
1187,Airbnb * Hmw2fcrap8,2798.41,People,31/08/2021
27779,Aldi 112 772,20.77,People,17/08/2021
28125,Aldi 22 772,2.19,People,12/08/2021
27783,Aldi 56 772,29.97,People,17/08/2021
27771,Aldi 89 772,19.20,People,17/08/2021
16907,Allpay *citizen Housin,87.32,People,10/08/2021
16227,Allpay *citizen Housin,50.00,People,12/08/2021
17428,Allpay *midland Heart,445.51,People,18/08/2021
1762,Amazon Prime*0t8i08z75,6.66,Communities,11/08/2021
4415,Amazon Prime*k675u12e5,6.66,People,27/08/2021
135,Amazon.Co.Uk*0c7491g45,1053.50,Communities,22/08/2021
4574,Amazon.Co.Uk*1092d7e75,74.99,People,25/08/2021
4903,Amazon.Co.Uk*1o24t7ab5,62.83,Communities,13/08/2021
15807,Amazon.Co.Uk*241kp6pi5,47.63,Resources,26/08/2021
9220,Amazon.Co.Uk*2l2sv7x35,56.18,Resources,17/08/2021
9213,Amazon.Co.Uk*3f70j2tw5,16.93,Communities,12/08/2021
3742,Amazon.Co.Uk*5r2x29jn5,58.37,Communities,18/08/2021
4394,Amazon.Co.Uk*663be87n5,74.17,Resources,10/08/2021
29663,Amazon.Co.Uk*6n4fv8aq5,23.98,People,05/08/2021
636,Amazon.Co.Uk*6w0g31xf5,10.54,People,11/08/2021
1462,Amazon.Co.Uk*7x7mm6lk5,53.17,Communities,20/08/2021
400,Amazon.Co.Uk*866c42rj5,41.42,Communities,11/08/2021
1220,Amazon.Co.Uk*cm0f18ew5,12.50,Communities,25/08/2021
2868,Amazon.Co.Uk*dt7mk4bq5,15.55,Fire and Rescue,08/08/2021
3705,Amazon.Co.Uk*ea7vu1vp5,50.48,Communities,18/08/2021
3705,Amazon.Co.Uk*ea7vu1vp5,25.24,Communities,18/08/2021
3705,Amazon.Co.Uk*ea7vu1vp5,25.24,Communities,18/08/2021
3715,Amazon.Co.Uk*f86vh7uh5,13.36,Resources,26/08/2021
25734,Amazon.Co.Uk*gg0c68qb5,55.93,Communities,13/08/2021
3619,Amazon.Co.Uk*gw4k89cb5,16.58,Communities,20/08/2021
825,Amazon.Co.Uk*gy2f94kq5,12.50,Communities,25/08/2021
25346,Amazon.Co.Uk*h337e12g5,11.15,Communities,13/08/2021
11401,Amazon.Co.Uk*i107d3tt5,20.00,Communities,16/08/2021
25330,Amazon.Co.Uk*j31aq8qc5,32.96,Communities,13/08/2021
9201,Amazon.Co.Uk*kr1in7dy5,112.37,Resources,10/08/2021
5425,Amazon.Co.Uk*nw9uh4km5,13.74,Communities,25/08/2021
15782,Amazon.Co.Uk*o80rd5wy5,13.50,Communities,03/08/2021
5635,Amazon.Co.Uk*on2gx9wh5,13.74,Communities,25/08/2021
4126,Amazon.Co.Uk*pq64982o5,11.58,Communities,06/08/2021
8137,Amazon.Co.Uk*qk4os4up5,35.28,Communities,11/08/2021
1894,Amazon.Co.Uk*qs6k91h75,12.14,People,30/08/2021
13471,Amazon.Co.Uk*r13yb52b5,26.77,Communities,17/08/2021
20679,Amazon.Co.Uk*rh7nt2eq5,16.24,Communities,12/08/2021
9574,Amazon.Co.Uk*tc8fc8t85,31.53,Resources,26/08/2021
354,Amazon.Co.Uk*tk9he4a85,21.98,People,09/08/2021
2350,Amazon.Co.Uk*tr8uh1uc5,20.00,Communities,25/08/2021
9022,Amazon.Co.Uk*u89fg9165,28.99,Fire and Rescue,12/08/2021
4447,Amazon.Co.Uk*uf5979la5,17.54,Communities,18/08/2021
668,Amazon.Co.Uk*v05iq0wr5,3.49,Communities,12/08/2021
11991,Amazon.Co.Uk*w63wt60z5,33.37,Fire and Rescue,18/08/2021
6196,Amazon.Co.Uk*wd9ga6785,20.58,People,23/08/2021
331,Amazon.Co.Uk*zd7u731d5,14.62,Communities,14/08/2021
15775,Amazon.Co.Uk*zx7nj4tm5,16.25,Communities,12/08/2021
851,Amz*component Shop,-200.09,Communities,06/08/2021
4611,Amznmktplace,62.49,People,02/08/2021
4970,Amznmktplace,18.99,People,02/08/2021
15918,Amznmktplace,13.27,Fire and Rescue,03/08/2021
9525,Amznmktplace,19.17,Communities,03/08/2021
2747,Amznmktplace,11.65,People,03/08/2021
8839,Amznmktplace,39.99,People,03/08/2021
3891,Amznmktplace,18.40,Communities,04/08/2021
4602,Amznmktplace,169.17,People,04/08/2021
4999,Amznmktplace,26.66,People,04/08/2021
7525,Amznmktplace,15.81,People,04/08/2021
92,Amznmktplace,29.16,People,04/08/2021
16512,Amznmktplace,18.28,Communities,04/08/2021
29104,Amznmktplace,18.17,People,05/08/2021
2539,Amznmktplace,177.57,People,05/08/2021
620,Amznmktplace,114.97,People,05/08/2021
4459,Amznmktplace,19.23,Communities,05/08/2021
8967,Amznmktplace,59.98,Fire and Rescue,05/08/2021
2119,Amznmktplace,35.38,Communities,05/08/2021
4123,Amznmktplace,59.98,People,05/08/2021
2222,Amznmktplace,11.75,Communities,06/08/2021
1207,Amznmktplace,11.74,People,06/08/2021
2303,Amznmktplace,6.99,Fire and Rescue,06/08/2021
2318,Amznmktplace,6.99,Fire and Rescue,06/08/2021
