Supplier,Transno,Amount,Directorate,Pay Date
123 Reg Ltd,15510,1.00,Resources,15/07/2021
123 Reg Ltd,14439,9.99,Resources,20/07/2021
123 Reg Ltd,11964,23.98,Resources,27/07/2021
123 Reg Ltd,12777,41.97,Resources,28/07/2021
2maa026693218 Td E-Pmt,10510,75.00,People,30/07/2021
Ab* Abebooks.Uk Is7gr7,40407,11.95,Communities,01/07/2021
Adobe Dw Creative Cld,13331,12.64,Resources,31/07/2021
Aghoco 1982 Ltd,859,461.07,Communities,02/07/2021
Agrovista UK Ltd,7745,512.00,Communities,19/07/2021
Agrovista UK Ltd,7745,867.20,Communities,19/07/2021
Ah Media Ltd,13293,495.00,Resources,28/07/2021
Al Baraka Market,34252,5.00,People,21/07/2021
Aldi,28992,24.53,People,29/07/2021
Aldi 22 772,29376,10.75,Fire and Rescue,28/07/2021
Aldi 40 772,25891,8.11,Communities,05/07/2021
Aldi 89 772,28805,15.22,People,29/07/2021
Aldi 89 772,28813,5.22,People,29/07/2021
Alliance Disposables,13807,48.28,Communities,16/07/2021
Amazon Prime,4256,-6.66,People,26/07/2021
Amazon Prime*bg3ka1nh5,2299,6.66,People,22/07/2021
Amazon Prime*v82k69f25,1968,6.66,Communities,11/07/2021
Amazon.Co.Uk*083vr09b5,3660,22.05,People,18/07/2021
Amazon.Co.Uk*0f2vy3wo5,7956,180.29,Communities,15/07/2021
Amazon.Co.Uk*0f5mn9v95,5004,200.00,People,15/07/2021
Amazon.Co.Uk*0v9az9xk5,2368,88.70,Resources,06/07/2021
Amazon.Co.Uk*200605314,8389,29.44,People,01/07/2021
Amazon.Co.Uk*201uj43p4,2075,33.57,Fire and Rescue,01/07/2021
Amazon.Co.Uk*202eg5tx4,5721,22.02,Communities,03/07/2021
Amazon.Co.Uk*202gm60b4,5806,41.50,Communities,05/07/2021
Amazon.Co.Uk*202gm60b4,5806,20.75,Communities,05/07/2021
Amazon.Co.Uk*202gm60b4,5806,10.37,Communities,05/07/2021
Amazon.Co.Uk*202gm60b4,5806,10.37,Communities,05/07/2021
Amazon.Co.Uk*202qp7374,38582,66.00,People,02/07/2021
Amazon.Co.Uk*2049313m4,1985,18.98,Communities,01/07/2021
Amazon.Co.Uk*205174nr4,1311,1082.50,People,01/07/2021
Amazon.Co.Uk*206f74em4,3905,11.59,Communities,05/07/2021
Amazon.Co.Uk*208mw1ga4,5714,13.07,Communities,07/07/2021
Amazon.Co.Uk*208r71tg4,1990,35.07,Communities,03/07/2021
Amazon.Co.Uk*209375j34,3331,36.97,Communities,02/07/2021
Amazon.Co.Uk*2282p1vj4,5419,61.72,Communities,30/07/2021
Amazon.Co.Uk*3503v92o5,4185,60.77,Communities,22/07/2021
Amazon.Co.Uk*3l6663lo5,3257,27.00,Communities,22/07/2021
Amazon.Co.Uk*3m2ob6j35,2133,63.96,Communities,06/07/2021
Amazon.Co.Uk*4120l20g5,342,72.02,Resources,21/07/2021
Amazon.Co.Uk*430mp9bt5,1681,2.44,Fire and Rescue,21/07/2021
Amazon.Co.Uk*550o64ln5,5068,120.00,People,15/07/2021
Amazon.Co.Uk*5w8rs1bs5,6101,33.76,People,15/07/2021
Amazon.Co.Uk*6m1tg3r55,494,54.67,Communities,29/07/2021
Amazon.Co.Uk*8w4x22g75,14811,10.00,Communities,07/07/2021
Amazon.Co.Uk*c01nc1b25,973,9.99,Communities,18/07/2021
Amazon.Co.Uk*cr7tw0v05,2205,7.49,People,16/07/2021
Amazon.Co.Uk*d22rn64c5,24592,7.99,Communities,14/07/2021
Amazon.Co.Uk*dd0ec4hb5,2093,19.99,People,12/07/2021
Amazon.Co.Uk*dx4i59uh5,15056,50.51,Resources,08/07/2021
Amazon.Co.Uk*dz4xa55v5,6424,34.98,Communities,29/07/2021
Amazon.Co.Uk*i74db4v05,18700,21.26,Communities,20/07/2021
Amazon.Co.Uk*ic1943qb5,1705,7.03,Resources,26/07/2021
Amazon.Co.Uk*j403442q5,1676,10.72,Resources,07/07/2021
Amazon.Co.Uk*jk5xx8jl5,11631,11.19,People,15/07/2021
Amazon.Co.Uk*lo0za7m55,13941,20.82,Fire and Rescue,13/07/2021
Amazon.Co.Uk*lp5m357p5,12670,10.33,Communities,16/07/2021
Amazon.Co.Uk*lw63v38z5,9496,17.78,Communities,16/07/2021
Amazon.Co.Uk*me6m45o25,3186,61.67,People,25/07/2021
Amazon.Co.Uk*nf3a340k5,1029,27.22,Communities,18/07/2021
Amazon.Co.Uk*or0d87iq5,1359,16.65,People,10/07/2021
Amazon.Co.Uk*pu98f4kt5,5736,37.00,Communities,14/07/2021
Amazon.Co.Uk*qd7ek3xo5,1352,54.15,Communities,22/07/2021
Amazon.Co.Uk*qq1k79su5,7413,23.97,Communities,15/07/2021
Amazon.Co.Uk*s20q798g5,11829,12.40,Resources,22/07/2021
Amazon.Co.Uk*tm5z12fh5,6271,54.99,People,29/07/2021
Amazon.Co.Uk*ul4ky0bj5,696,31.50,Resources,26/07/2021
Amazon.Co.Uk*vt78q3np5,15504,19.57,Communities,27/07/2021
Amazon.Co.Uk*wj76q4c85,7404,93.99,Communities,08/07/2021
Amazon.Co.Uk*wz5ee1js5,12681,39.96,Communities,14/07/2021
Amazon.Co.Uk*xd3u17cw5,11417,66.66,Resources,22/07/2021
Amznmktplace,7066,58.29,Communities,01/07/2021
Amznmktplace,669,90.67,People,01/07/2021
Amznmktplace,616,22.47,Fire and Rescue,01/07/2021
Amznmktplace,7263,24.96,People,01/07/2021
Amznmktplace,4879,5.82,Communities,02/07/2021
Amznmktplace,5023,21.48,Communities,02/07/2021
Amznmktplace,5334,4.73,Communities,02/07/2021
Amznmktplace,4169,5.11,Fire and Rescue,02/07/2021
Amznmktplace,2081,1074.50,Communities,04/07/2021
Amznmktplace,2114,1074.50,Communities,04/07/2021
Amznmktplace,1172,12.49,People,04/07/2021
Amznmktplace,3206,30.82,People,04/07/2021
Amznmktplace,1314,94.41,Communities,04/07/2021
Amznmktplace,1330,17.49,Communities,04/07/2021
Amznmktplace,4116,5.82,Communities,04/07/2021
Amznmktplace,4120,3.07,Communities,04/07/2021
