Supplier,Transno,Amount,Directorate,Pay Date
123 Reg Ltd,5062,15.99,Resources,11/06/2021
123 Reg Ltd,15308,1.00,Resources,15/06/2021
123 Reg Ltd,16494,9.99,Resources,16/06/2021
123 Reg Ltd,3734,23.98,Resources,25/06/2021
123 Reg Ltd,4638,15.99,Resources,27/06/2021
1stlocate T/A Lcs,7768,82.22,Communities,14/06/2021
1stlocate T/A Lcs,10028,82.58,Communities,29/06/2021
2maa026165472 Td E-Pmt,11111,75.00,People,04/06/2021
2maa026317756 Td E-Pmt,20002,75.00,People,22/06/2021
2maa026338490 Td E-Pmt,19801,75.00,People,24/06/2021
4 Weeks Ltd,9383,501.95,Communities,15/06/2021
A1 Motor Store,9757,45.00,Communities,03/06/2021
Ab* Abebooks.Uk Is5s2j,39251,23.10,Communities,30/06/2021
Adobe Dw Creative Cld,37273,12.64,Resources,30/06/2021
Adv-Battery-Supplies,2777,258.33,Communities,13/06/2021
Adventurize Media Ltd,14065,80.00,Fire and Rescue,18/06/2021
Akis Fish Bar Ltd,10693,93.00,Communities,02/06/2021
Alcester Car Care,1442,428.00,Communities,11/06/2021
Amazon Prime*284x90tf4,7125,7.99,Communities,11/06/2021
Amazon.Co.Uk*200qn8cf4,5385,5.53,Communities,27/06/2021
Amazon.Co.Uk*202hd8lt4,12427,68.09,Communities,30/06/2021
Amazon.Co.Uk*2056w0or4,5601,10.83,Communities,28/06/2021
Amazon.Co.Uk*206hn0ff4,1348,34.27,Resources,29/06/2021
Amazon.Co.Uk*206hn0ff4,1348,5.42,Resources,29/06/2021
Amazon.Co.Uk*207yi94j4,14,15.81,Resources,29/06/2021
Amazon.Co.Uk*208bv4la4,6988,24.76,Communities,30/06/2021
Amazon.Co.Uk*2091w6nr4,19546,56.24,People,30/06/2021
Amazon.Co.Uk*2802q7wu4,3946,28.32,Communities,25/06/2021
Amazon.Co.Uk*280j72ad4,4200,11.98,Communities,13/06/2021
Amazon.Co.Uk*280pz1274,3035,21.96,Communities,23/06/2021
Amazon.Co.Uk*280xt2as4,4196,11.98,Communities,13/06/2021
Amazon.Co.Uk*280yt06v4,19745,170.79,Communities,21/06/2021
Amazon.Co.Uk*2811o94i4,5142,23.30,People,09/06/2021
Amazon.Co.Uk*2816n0as4,4367,20.98,Fire and Rescue,12/06/2021
Amazon.Co.Uk*281kw34x4,10050,31.26,Resources,09/06/2021
Amazon.Co.Uk*281n484s4,6669,51.63,People,09/06/2021
Amazon.Co.Uk*281xf38j4,2905,30.00,People,20/06/2021
Amazon.Co.Uk*282hz7xe4,20765,44.78,Resources,17/06/2021
Amazon.Co.Uk*282n250h4,11763,23.97,People,14/06/2021
Amazon.Co.Uk*282yj7ot4,38404,37.54,Resources,07/06/2021
Amazon.Co.Uk*283bh1kp4,8312,8.33,People,24/06/2021
Amazon.Co.Uk*283dd4oe4,17321,67.00,People,07/06/2021
Amazon.Co.Uk*283vj9cx4,2927,16.73,Resources,07/06/2021
Amazon.Co.Uk*283wy9kb4,21451,11.65,People,23/06/2021
Amazon.Co.Uk*284fd7ft4,2919,299.00,People,08/06/2021
Amazon.Co.Uk*2855i6gt4,7295,16.58,Fire and Rescue,16/06/2021
Amazon.Co.Uk*285763cn4,3783,110.00,People,07/06/2021
Amazon.Co.Uk*285an1q74,4895,65.63,Fire and Rescue,21/06/2021
Amazon.Co.Uk*285f93kw4,8831,24.15,Fire and Rescue,24/06/2021
Amazon.Co.Uk*285hz7ak4,4306,8.32,Resources,13/06/2021
Amazon.Co.Uk*285jk4x94,21070,44.78,Resources,17/06/2021
Amazon.Co.Uk*285o87r14,3241,30.00,People,25/06/2021
Amazon.Co.Uk*285ow5rd4,576,3.18,People,25/06/2021
Amazon.Co.Uk*2862m4xr4,20250,44.80,Resources,17/06/2021
Amazon.Co.Uk*2865c5ek4,6531,26.65,People,13/06/2021
Amazon.Co.Uk*286ih6cq4,2939,29.68,Communities,07/06/2021
Amazon.Co.Uk*286xl7xm4,20549,44.79,Resources,17/06/2021
Amazon.Co.Uk*2872b3by4,654,39.80,Communities,21/06/2021
Amazon.Co.Uk*2875m6ea4,8753,99.99,Resources,14/06/2021
Amazon.Co.Uk*287cj6q04,6557,11.49,Communities,20/06/2021
Amazon.Co.Uk*287gj16s4,15234,91.41,People,21/06/2021
Amazon.Co.Uk*287ie07w4,16371,17.06,People,24/06/2021
Amazon.Co.Uk*287m61e44,6586,20.78,Communities,13/06/2021
Amazon.Co.Uk*2880w0an4,4241,11.95,Communities,13/06/2021
Amazon.Co.Uk*288nj5dr4,4287,52.53,Communities,22/06/2021
Amazon.Co.Uk*288sp4jq4,4326,15.99,Communities,12/06/2021
Amazon.Co.Uk*289cb5zr4,16827,135.25,Fire and Rescue,10/06/2021
Amazon.Co.Uk*289f61qa4,6017,65.63,Fire and Rescue,21/06/2021
Amazon.Co.Uk*289h26fk4,33877,401.52,Resources,09/06/2021
Amazon.Co.Uk*289qx4v64,11798,19.57,Communities,18/06/2021
Amazon.Co.Uk*289t59tu4,1172,10.63,Communities,12/06/2021
Amazon.Co.Uk*2t4314w94,192,139.96,Resources,06/06/2021
Amazon.Co.Uk*2t4m44sl4,8512,14.53,Communities,01/06/2021
Amazon.Co.Uk*2t5qa1um4,30484,69.14,Resources,03/06/2021
Amazon.Co.Uk*2t6293yl4,3949,24.99,Resources,07/06/2021
Amazon.Co.Uk*2t7n442h4,4291,80.00,People,01/06/2021
Amazon.Co.Uk*2t8c25ur4,7031,14.98,People,02/06/2021
Amz*amazon Business Uk,3559,-162.30,Fire and Rescue,16/06/2021
Amz*amazon Business Uk,3756,-70.30,Communities,18/06/2021
Amz*amazon.Co.Uk,3593,-23.97,People,25/06/2021
Amz*biggamehunters,1865,-44.99,People,08/06/2021
Amz*bigger 2 Bigger,36182,-58.32,Resources,17/06/2021
Amz*comcen Computer Su,6986,-108.82,Communities,25/06/2021
Amzn Mktp Uk*2t3zx4yn4,8536,19.98,People,06/06/2021
Amznmktplace,2014,3.33,Fire and Rescue,01/06/2021
Amznmktplace,3566,21.66,Communities,01/06/2021
Amznmktplace,3795,9.20,Communities,01/06/2021
Amznmktplace,1248,120.00,Resources,01/06/2021
Amznmktplace,6952,13.32,Communities,01/06/2021
Amznmktplace,3822,2.98,Communities,01/06/2021
Amznmktplace,526,59.95,People,01/06/2021
Amznmktplace,2913,43.22,Fire and Rescue,02/06/2021
Amznmktplace,8683,24.97,Resources,02/06/2021
Amznmktplace,10906,15.82,People,03/06/2021
Amznmktplace,3664,17.67,Communities,03/06/2021
Amznmktplace,3737,6.32,Communities,03/06/2021
Amznmktplace,6232,18.82,Communities,03/06/2021
Amznmktplace,10818,18.98,Communities,03/06/2021
Amznmktplace,2119,9.01,Communities,04/06/2021
Amznmktplace,3812,108.82,Communities,04/06/2021
Amznmktplace,1310,68.79,People,04/06/2021
Amznmktplace,2026,28.80,People,04/06/2021
Amznmktplace,3837,16.47,People,04/06/2021
Amznmktplace,777,3.28,People,04/06/2021
Amznmktplace,2311,75.48,People,05/06/2021
Amznmktplace,2951,87.15,People,06/06/2021
Amznmktplace,2943,96.25,People,07/06/2021
Amznmktplace,4532,315.48,People,07/06/2021
Amznmktplace,482,140.62,People,07/06/2021
Amznmktplace,947,141.66,People,07/06/2021
Amznmktplace,239,49.87,Communities,07/06/2021
Amznmktplace,4523,41.67,Communities,07/06/2021
Amznmktplace,28976,10.82,Communities,08/06/2021
Amznmktplace,29066,28.86,People,09/06/2021
Amznmktplace,4071,8.25,People,09/06/2021
Amznmktplace,6415,127.49,People,09/06/2021
Amznmktplace,1216,49.17,People,09/06/2021
Amznmktplace,1527,12.54,Resources,09/06/2021
Amznmktplace,3049,122.50,Resources,09/06/2021
Amznmktplace,12213,39.49,Communities,09/06/2021
Amznmktplace,1397,30.40,Communities,09/06/2021
Amznmktplace,2688,42.99,Communities,09/06/2021
Amznmktplace,4931,58.32,Resources,09/06/2021
Amznmktplace,15499,26.66,People,09/06/2021
Amznmktplace,212,24.36,Communities,09/06/2021
Amznmktplace,2395,9.03,Communities,09/06/2021
Amznmktplace,35233,14.60,People,10/06/2021
Amznmktplace,15633,8.99,Resources,10/06/2021
Amznmktplace,7486,6.62,Resources,10/06/2021
Amznmktplace,4330,20.75,Resources,10/06/2021
Amznmktplace,34821,174.94,Communities,10/06/2021
Amznmktplace,3444,89.99,Resources,11/06/2021
Amznmktplace,3347,6.66,Communities,11/06/2021
Amznmktplace,2337,41.58,Fire and Rescue,11/06/2021
Amznmktplace,578,78.98,Resources,11/06/2021
Amznmktplace,5869,8.24,Resources,11/06/2021
Amznmktplace,2759,3.79,Communities,12/06/2021
Amznmktplace,30829,29.99,People,12/06/2021
Amznmktplace,627,8.98,Resources,13/06/2021
Amznmktplace,26967,18.32,People,14/06/2021
Amznmktplace,12625,17.82,Communities,14/06/2021
Amznmktplace,2812,39.16,People,14/06/2021
Amznmktplace,2563,18.29,Fire and Rescue,15/06/2021
Amznmktplace,14571,27.60,Fire and Rescue,15/06/2021
Amznmktplace,2706,27.62,Fire and Rescue,15/06/2021
Amznmktplace,13217,12.03,Communities,15/06/2021
Amznmktplace,13217,4.99,Communities,15/06/2021
Amznmktplace,2550,39.92,Resources,15/06/2021
Amznmktplace,1957,65.50,People,16/06/2021
Amznmktplace,21473,31.99,People,16/06/2021
Amznmktplace,35852,21.41,Resources,17/06/2021
Amznmktplace,6148,29.97,Communities,18/06/2021
Amznmktplace,1595,60.00,Resources,18/06/2021
Amznmktplace,2217,12.49,People,19/06/2021
Amznmktplace,3930,31.23,People,19/06/2021
Amznmktplace,5053,33.48,People,19/06/2021
Amznmktplace,5956,23.49,Communities,21/06/2021
Amznmktplace,8716,27.90,Communities,21/06/2021
Amznmktplace,8720,23.32,Communities,21/06/2021
Amznmktplace,12016,6.88,Communities,21/06/2021
Amznmktplace,10132,19.99,Fire and Rescue,24/06/2021
Amznmktplace,7951,4.95,Resources,24/06/2021
Amznmktplace,3010,24.96,People,24/06/2021
Amznmktplace,3563,15.22,Communities,24/06/2021
Amznmktplace,2269,61.23,People,25/06/2021
Amznmktplace,5971,72.16,People,25/06/2021
Amznmktplace,14308,26.65,Communities,25/06/2021
Amznmktplace,5791,12.47,Communities,25/06/2021
Amznmktplace,5170,17.96,Communities,25/06/2021
Amznmktplace,751,24.41,People,26/06/2021
Amznmktplace,1600,18.02,Communities,27/06/2021
Amznmktplace,3452,5.33,Communities,28/06/2021
Amznmktplace,8974,220.90,Communities,29/06/2021
Amznmktplace,4795,73.87,Resources,29/06/2021
Amznmktplace,4945,15.76,Resources,29/06/2021
Amznmktplace,7160,9.99,Resources,29/06/2021
Amznmktplace,814,54.95,Resources,29/06/2021
Amznmktplace,27753,14.99,Fire and Rescue,29/06/2021
Amznmktplace,7714,215.99,Communities,29/06/2021
Amznmktplace,3526,12.49,People,30/06/2021
Amznmktplace,6193,41.58,Fire and Rescue,30/06/2021
Amznmktplace,3634,37.49,Fire and Rescue,30/06/2021
Amznmktplace Amazon.Co,5934,14.12,People,03/06/2021
Amznmktplace Amazon.Co,4327,216.07,Resources,03/06/2021
Amznmktplace Amazon.Co,5749,17.47,Communities,13/06/2021
Amznmktplace Amazon.Co,6672,25.98,Fire and Rescue,15/06/2021
Amznmktplace Amazon.Co,10372,40.64,Communities,16/06/2021
Amznmktplace Amazon.Co,3972,18.32,People,16/06/2021
Amznmktplace Amazon.Co,3968,34.13,People,17/06/2021
Amznmktplace Amazon.Co,4866,9.37,People,17/06/2021
Amznmktplace Amazon.Co,3110,156.67,People,20/06/2021
Amznmktplace Amazon.Co,10425,199.00,People,22/06/2021
Amznmktplace Amazon.Co,11476,24.97,Communities,24/06/2021
Amznmktplace Amazon.Co,4280,10.00,Communities,24/06/2021
Amznmktplace Amazon.Co,7210,105.12,People,24/06/2021
Amznmktplace Amazon.Co,2567,7.59,Communities,27/06/2021
Amznmktplace Amazon.Co,2567,10.82,Communities,27/06/2021
Amznmktplace Amazon.Co,3995,1.99,Resources,29/06/2021
Amznmktplace Amazon.Co,3995,5.82,Resources,29/06/2021
Amznmktplace Amazon.Co,4046,63.32,Fire and Rescue,29/06/2021
Ao Retail Limited,16165,429.00,People,02/06/2021
Ao Retail Limited,25656,190.83,People,17/06/2021
Ao Retail Limited,35050,209.00,People,23/06/2021
Ao Retail Limited,35174,232.50,People,23/06/2021
Ao Retail Limited,27640,190.83,People,30/06/2021
Ao Retail Limited,27644,190.83,People,30/06/2021
Apple.Com/Bill,37394,2.07,Resources,30/06/2021
Apple.Com/Uk,38753,207.50,Resources,10/06/2021
Arc Media (Midlands) L,15379,50.00,Communities,11/06/2021
Arco Limited (Ahpp),28625,8.39,Communities,28/06/2021
Arco Limited (Ahpp),28625,8.79,Communities,28/06/2021
Arco Limited (Sap),23854,17.92,Fire and Rescue,08/06/2021
Argos Ltd,15879,70.83,People,01/06/2021
Argos Ltd,15883,50.79,People,01/06/2021
Argos Ltd,16015,-10.00,People,01/06/2021
Argos Ltd,16067,10.00,People,01/06/2021
Argos Ltd,16091,10.00,People,01/06/2021
Argos Ltd,16047,10.79,People,01/06/2021
Argos Ltd,20730,29.99,People,03/06/2021
Argos Ltd,5687,612.47,People,04/06/2021
Argos Ltd,5894,8.00,People,04/06/2021
Argos Ltd,23848,86.62,People,07/06/2021
Argos Ltd,23832,40.78,People,07/06/2021
Argos Ltd,27468,-12.00,People,08/06/2021
Argos Ltd,28544,244.12,People,10/06/2021
Argos Ltd,28548,174.99,People,10/06/2021
Argos Ltd,28632,216.66,People,10/06/2021
Argos Ltd,28668,19.96,People,10/06/2021
Argos Ltd,7006,57.48,People,11/06/2021
Argos Ltd,8459,37.49,People,11/06/2021
Argos Ltd,24296,49.98,People,14/06/2021
Argos Ltd,28183,25.00,People,16/06/2021
Argos Ltd,28103,152.36,People,17/06/2021
Argos Ltd,8542,24.99,People,17/06/2021
Argos Ltd,26057,57.47,People,21/06/2021
Argos Ltd,34193,166.66,People,23/06/2021
Argos Ltd,6227,12.49,People,25/06/2021
Argos Ltd,5841,19.95,People,25/06/2021
Argos Ltd,6179,24.99,People,25/06/2021
Argos Ltd,5857,95.44,People,25/06/2021
Argos Ltd,5869,13.94,People,25/06/2021
Argos Maypole,5862,43.95,People,05/06/2021
Asda George Com Leeds,9420,76.95,Resources,02/06/2021
Asda George Com Leeds,9420,26.25,Resources,02/06/2021
Asda Groceries Online,8492,50.92,People,01/06/2021
Asda Store 4738,18005,9.82,Communities,28/06/2021
Asda Store 4738,20823,7.99,Communities,29/06/2021
Asda Store 4738,22254,5.40,Communities,30/06/2021
Asda Store 4738,22266,4.94,Communities,30/06/2021
Asda Stores 4523,21626,8.82,People,15/06/2021
Asda Stores Ltd,7270,30.00,People,07/06/2021
Asda Superstore,21735,76.95,People,17/06/2021
Asda Superstore,22679,38.14,People,22/06/2021
Asda Superstore,22793,13.85,People,23/06/2021
Asda Superstore,22797,249.17,People,23/06/2021
Atlassian,31354,8.66,Resources,28/06/2021
Aws Emea,28443,22.83,Communities,03/06/2021
B & Q 1092,14688,31.67,Communities,01/06/2021
B & Q 1092,14688,9.17,Communities,01/06/2021
B & Q 1363,25619,4.62,Communities,10/06/2021
B&m 468 - Hs Nuneaton,18503,114.55,People,22/06/2021
B&m 468 - Hs Nuneaton,18507,327.60,People,22/06/2021
B&m 468 - Hs Nuneaton,19319,6.65,Fire and Rescue,24/06/2021
B&m 468 - Hs Nuneaton,19327,1.15,Fire and Rescue,24/06/2021
B&q Direct,30242,149.33,Resources,29/06/2021
Batterystation.Co.Uk,16157,143.91,Communities,22/06/2021
Bensonsforbedsretail,12182,158.32,People,18/06/2021
Biffa Waste Services L,26959,13.00,People,03/06/2021
Birmingham Moor Street,28095,12.00,People,15/06/2021
Birmingham Register,8261,14.50,Resources,11/06/2021
Birmingham Register,8265,14.50,Resources,11/06/2021
Birmingham Register,8269,14.50,Resources,11/06/2021
Birmingham Register,8273,14.50,Resources,11/06/2021
Birmingham Register,32459,-14.50,Resources,16/06/2021
Birmingham Register,32463,-14.50,Resources,16/06/2021
Birmingham Register,32467,-14.50,Resources,16/06/2021
Birmingham Register,28773,14.50,People,21/06/2021
Boc Gases,32278,64.50,Communities,16/06/2021
Boc Gases,25499,268.56,Communities,23/06/2021
Boconline.Co.Uk,26454,187.56,Communities,07/06/2021
Boing Rapid Secure Ltd,11091,204.00,People,23/06/2021
Boohoo.Com,9564,57.39,Communities,08/06/2021
Boohoo.Com,5611,-26.20,Communities,08/06/2021
Boohoo.Com,11639,48.79,Communities,10/06/2021
Booker Limited Llandud,30618,189.47,Communities,25/06/2021
