Transaction Number,Supplier,Net Amount,Directorate,Date
21993,2maa029376077 Td E-Pmt,£75.00,People,07/03/2022
25511,2maa029515141 Td E-Pmt,£75.00,People,16/03/2022
31941,3c_*university Of Worc,£3.00,Communities,21/03/2022
33640,A La Cart Cafe,£108.00,Resources,28/03/2022
3662,A La Carte,£142.50,Resources,23/03/2022
15240,A Medium Corporation,£37.88,Resources,05/03/2022
42359,Ab* Abebooks.Uk J97db9,£4.29,Communities,04/03/2022
42363,Ab* Abebooks.Uk J97dba,£10.35,Communities,04/03/2022
44447,Adobe Dw Creative Cld,£10.53,Resources,31/03/2022
9000,Age UK Warwickshir,£3.00,Resources,30/03/2022
18574,Agora Publications,£96.78,Communities,24/03/2022
9027,Airbnb * Hm9xcpc2wf,£409.29,People,22/03/2022
41536,Aldi 17 772,£22.62,People,14/03/2022
48050,Aldi 17 772,£10.23,People,30/03/2022
46871,Aldi 38 772,£8.75,People,08/03/2022
47578,Aldi 38 772,£0.79,People,15/03/2022
47570,Aldi 38 772,£6.78,People,15/03/2022
32439,Aldi 38 772,£7.16,Communities,18/03/2022
46581,Aldi 38 772,£4.15,People,22/03/2022
33510,Aldi 38 772,£8.37,Communities,25/03/2022
48378,Aldi 61 772,£2.75,Communities,23/03/2022
46875,Aldi 89 772,£24.97,People,08/03/2022
27133,Allpay *orbit Group Li,£91.09,People,15/03/2022
5590,Amazon Prime*216wv50z4,£6.66,Communities,18/03/2022
1206,Amazon Prime*292z41f14,£7.99,People,27/03/2022
10251,Amazon Prime*2x6rv5gp4,£7.99,Communities,08/03/2022
7265,Amazon Prime*2x8fv9f24,£7.99,Communities,03/03/2022
6573,Amazon.Co.Uk*210bl9nq4,£56.25,Resources,16/03/2022
8564,Amazon.Co.Uk*210dg47h4,£33.32,People,24/03/2022
11420,Amazon.Co.Uk*213mq9284,£11.99,People,23/03/2022
1822,Amazon.Co.Uk*214520g04,£7.84,Resources,19/03/2022
2689,Amazon.Co.Uk*214549fq4,£17.81,Communities,15/03/2022
20767,Amazon.Co.Uk*2148c52e4,£14.16,Communities,23/03/2022
46270,Amazon.Co.Uk*214cm1kf4,£137.08,Resources,24/03/2022
379,Amazon.Co.Uk*214u542d4,£11.99,People,23/03/2022
20627,Amazon.Co.Uk*2158822h4,£14.16,Communities,23/03/2022
42114,Amazon.Co.Uk*2163k2zj4,£19.97,Resources,16/03/2022
20747,Amazon.Co.Uk*2169r3kk4,£14.16,Communities,23/03/2022
12408,Amazon.Co.Uk*216mk29c4,£25.00,People,24/03/2022
12576,Amazon.Co.Uk*217dl5434,£71.61,Resources,15/03/2022
9069,Amazon.Co.Uk*2185g6ws4,£33.32,Resources,25/03/2022
20751,Amazon.Co.Uk*2189m3ks4,£14.16,Communities,23/03/2022
12827,Amazon.Co.Uk*218g284t4,£19.95,Communities,15/03/2022
20763,Amazon.Co.Uk*2199y0k84,£14.16,Communities,23/03/2022
20553,Amazon.Co.Uk*219eh72p4,£14.16,Communities,23/03/2022
383,Amazon.Co.Uk*219mv2204,£11.99,People,23/03/2022
26711,Amazon.Co.Uk*291745tc4,£4.41,People,29/03/2022
523,Amazon.Co.Uk*292he2pp4,£10.98,People,31/03/2022
36428,Amazon.Co.Uk*294ok6ta4,£29.98,People,29/03/2022
3661,Amazon.Co.Uk*294pk6co4,£61.44,Communities,26/03/2022
15387,Amazon.Co.Uk*294qd9jw4,£14.63,People,29/03/2022
42464,Amazon.Co.Uk*295pq51d4,£16.67,Resources,31/03/2022
586,Amazon.Co.Uk*2987b4ol4,£116.66,People,27/03/2022
2729,Amazon.Co.Uk*298988cx4,£8.73,Fire and Rescue,26/03/2022
1217,Amazon.Co.Uk*2r03d5yx4,£18.82,People,02/03/2022
1209,Amazon.Co.Uk*2r3397yv4,£18.82,People,02/03/2022
10577,Amazon.Co.Uk*2x0b46e74,£48.33,Resources,07/03/2022
6449,Amazon.Co.Uk*2x0jz6iq4,£485.19,Resources,13/03/2022
29862,Amazon.Co.Uk*2x11d1hq4,£201.00,Resources,09/03/2022
1123,Amazon.Co.Uk*2x1kd6bj4,£71.98,Resources,10/03/2022
817,Amazon.Co.Uk*2x1pc4uh4,£321.48,Resources,13/03/2022
10817,Amazon.Co.Uk*2x1zu3k54,£24.98,Resources,11/03/2022
913,Amazon.Co.Uk*2x22t3ky4,£99.09,People,12/03/2022
21764,Amazon.Co.Uk*2x2ap3hr4,£9.99,Resources,09/03/2022
7964,Amazon.Co.Uk*2x2hb6in4,£21.93,Resources,13/03/2022
2165,Amazon.Co.Uk*2x37f3s54,£101.44,Communities,11/03/2022
3250,Amazon.Co.Uk*2x4514iz4,£12.50,People,13/03/2022
13524,Amazon.Co.Uk*2x49p1dz4,£237.78,Resources,10/03/2022
3731,Amazon.Co.Uk*2x4de4244,£160.25,Fire and Rescue,11/03/2022
30392,Amazon.Co.Uk*2x4ik5h44,£29.01,Communities,09/03/2022
1967,Amazon.Co.Uk*2x4n55ua4,£158.52,Resources,13/03/2022
1466,Amazon.Co.Uk*2x4py1nb4,£47.94,Resources,05/03/2022
7859,Amazon.Co.Uk*2x4q69hb4,£29.97,Resources,10/03/2022
7831,Amazon.Co.Uk*2x4sd2hz4,£9.99,Resources,10/03/2022
34254,Amazon.Co.Uk*2x57f4nb4,£87.92,People,05/03/2022
30452,Amazon.Co.Uk*2x5t42he4,£9.99,Resources,09/03/2022
13547,Amazon.Co.Uk*2x5tf0vd4,£11.29,People,08/03/2022
21466,Amazon.Co.Uk*2x5yi6hr4,£39.96,Resources,09/03/2022
14432,Amazon.Co.Uk*2x6kk0vn4,£46.10,Resources,08/03/2022
2572,Amazon.Co.Uk*2x6l07sc4,£187.49,Communities,11/03/2022
3979,Amazon.Co.Uk*2x6lj1204,£34.99,Communities,11/03/2022
13535,Amazon.Co.Uk*2x6p50vn4,£38.38,Fire and Rescue,08/03/2022
1527,Amazon.Co.Uk*2x6va7564,£29.58,People,09/03/2022
1022,Amazon.Co.Uk*2x6y688o4,£38.87,Fire and Rescue,10/03/2022
47687,Amazon.Co.Uk*2x76e6m74,£50.73,People,09/03/2022
2625,Amazon.Co.Uk*2x7td3mv4,£27.75,People,09/03/2022
2589,Amazon.Co.Uk*2x89n0il4,£12.50,People,13/03/2022
2155,Amazon.Co.Uk*2x8mr1314,£21.54,Resources,05/03/2022
13360,Amazon.Co.Uk*2x8ox8634,£660.50,Resources,10/03/2022
1043,Amazon.Co.Uk*2x9ho5ue4,£69.93,Resources,13/03/2022
3360,Ampulla Ltd,£53.70,Fire and Rescue,29/03/2022
5522,Amz*allied Uk,-£33.32,Communities,23/03/2022
3303,Amz*ankerdirect Uk,-£116.65,Fire and Rescue,18/03/2022
4913,Amz*autofulleu,-£84.99,Resources,31/03/2022
5052,Amz*aykrm Hi Vis,-£17.47,Communities,28/03/2022
689,Amz*dlm Direct,-£52.75,Fire and Rescue,11/03/2022
6656,Amz*printing Saver,-£61.58,Resources,29/03/2022
8429,Amznmktplace,£13.32,People,01/03/2022
8579,Amznmktplace,£13.32,People,01/03/2022
14223,Amznmktplace,£14.97,Resources,01/03/2022
4248,Amznmktplace,£19.86,Communities,01/03/2022
8858,Amznmktplace,£23.32,Communities,01/03/2022
256,Amznmktplace,£24.97,People,01/03/2022
11541,Amznmktplace,£25.57,People,01/03/2022
10780,Amznmktplace,£25.82,Resources,01/03/2022
9293,Amznmktplace,£27.14,Communities,01/03/2022
5365,Amznmktplace,£31.83,Resources,01/03/2022
28741,Amznmktplace,£38.32,People,01/03/2022
5290,Amznmktplace,£54.99,People,01/03/2022
5936,Amznmktplace,£54.99,People,01/03/2022
14335,Amznmktplace,£59.79,People,01/03/2022
14876,Amznmktplace,£59.96,People,01/03/2022
1969,Amznmktplace,£74.92,People,01/03/2022
9938,Amznmktplace,£74.92,People,01/03/2022
10854,Amznmktplace,£99.92,People,01/03/2022
9331,Amznmktplace,£1.89,People,02/03/2022
10070,Amznmktplace,£11.23,Resources,02/03/2022
