Transaction,Supplier,Net,Directorate,Date
Number,,Amount,,
23192,Www.Cscs.Uk.Com,£30.00,Resources,04/11/2021
32740,Co-Op Late Shop,£5.61,Communities,02/11/2021
4863,Amznmktplace,£56.87,Communities,01/11/2021
5276,Amznmktplace,£14.50,Communities,01/11/2021
5381,Amznmktplace,£5.86,Communities,01/11/2021
6461,Amznmktplace,£58.57,Communities,01/11/2021
16087,Www.,£51.29,Communities,02/11/2021
16087,Www.,£4.99,Communities,02/11/2021
32687,Worcestershire Cou,£104.00,Communities,02/11/2021
4346,Amznmktplace,£219.95,Communities,02/11/2021
13177,Amznmktplace Amazon.Co,£44.16,Communities,03/11/2021
2986,Amznmktplace,£29.99,Communities,03/11/2021
3198,Amznmktplace,£36.15,Communities,03/11/2021
1020,Amznmktplace,£33.32,Communities,05/11/2021
21322,Engelbert Strauss Ltd,£287.30,Communities,05/11/2021
4750,Amazon.Co.Uk*mz8zk2wh5,£35.20,Communities,07/11/2021
9938,Amazon.Co.Uk*d24nn2ch5,£166.67,Communities,07/11/2021
10600,Amznmktplace,£144.94,Communities,08/11/2021
217,Cat Ballou Originals,£7.48,Communities,08/11/2021
6658,Amznmktplace Amazon.Co,£27.47,Communities,01/11/2021
9238,Amznmktplace Amazon.Co,£25.68,Communities,01/11/2021
10564,Amznmktplace Amazon.Co,£12.91,Communities,02/11/2021
22210,Amznmktplace Amazon.Co,£9.16,Communities,03/11/2021
6362,Amazon.Co.Uk*qh4ml85x5,£22.48,Communities,04/11/2021
1769,Sp * Top Deals Online,£6.52,Communities,03/11/2021
41743,Hartshill Local Store,£4.60,Communities,03/11/2021
6518,Amznmktplace,£29.99,Communities,01/11/2021
6522,Amznmktplace,£29.99,Communities,01/11/2021
9982,Amznmktplace Amazon.Co,£17.47,Communities,02/11/2021
18,Amazon.Co.Uk*v90jr1fe5,£120.82,Communities,04/11/2021
34078,Milk And More,£1.90,Communities,05/11/2021
34183,Milk And More,£8.55,Communities,05/11/2021
7012,Amz*amazon Business Uk,-£29.84,People,02/11/2021
2244,Amazon.Co.Uk*3f2bb29l5,£24.42,People,06/11/2021
28435,Mak Flooring,£833.33,People,03/11/2021
46755,Costa Leamington Spa D,£6.79,People,03/11/2021
32335,Argos Ltd,£22.46,People,01/11/2021
23084,Www.Registry-Trust.Org,£8.33,Resources,03/11/2021
5065,Amznmktplace,£52.44,Communities,01/11/2021
33666,Travelodge Gb0000,£122.80,Communities,03/11/2021
29469,Currys Online,£207.50,People,03/11/2021
29599,Dunelm,£109.17,People,03/11/2021
39139,Argos Ltd,£336.19,People,03/11/2021
39171,Argos Ltd,£24.12,People,03/11/2021
5573,Amznmktplace,£58.25,People,04/11/2021
7826,Amznmktplace,£49.97,People,04/11/2021
39069,Www.Therange.Co.Uk,£139.05,People,08/11/2021
8836,Tvlicensing.Co.Uk,£132.50,People,01/11/2021
19134,Stagecoach Service,£24.17,People,03/11/2021
32637,Www.Coventry.Gov.Uk,£433.22,People,02/11/2021
23591,Www.Cgpbooks.Co.Uk,£28.95,Communities,04/11/2021
45293,Praxisdienst Gmbh Co.,£239.34,Fire and Rescue,01/11/2021
7136,Amznmktplace,£2.82,Fire and Rescue,02/11/2021
7879,Amznmktplace,£32.66,Fire and Rescue,02/11/2021
1664,Thetrainline.Com,£75.04,People,01/11/2021
38303,Nuneaton & Bedworth Bc,£562.00,People,02/11/2021
38307,Nuneaton & Bedworth Bc,£562.18,People,02/11/2021
9402,Tvlicensing.Co.Uk,£159.00,People,02/11/2021
44739,Greggs Plc,£3.95,People,04/11/2021
46144,Costa Leamington Spa D,£4.40,People,04/11/2021
1432,The Outdoors Company,£376.46,Communities,02/11/2021
16645,Food4wildbirds-Dom,£115.99,Communities,02/11/2021
29745,Currys Online,£416.66,People,03/11/2021
18976,2maa027885235 Td E-Pmt,£75.00,People,01/11/2021
42921,Sainsburys S/mkt,£102.29,People,04/11/2021
11173,British Gas Otp,£15.00,People,05/11/2021
22502,Www.Mad4tools.Com,£37.18,People,08/11/2021
24235,Media Storehouse,£24.16,Resources,04/11/2021
26817,Www.Tts-Groups.Co.Uk,£16.94,Resources,04/11/2021
35996,Findel Education,£26.99,Resources,04/11/2021
52531,Fabfab Gmbh,£63.33,Resources,04/11/2021
53661,Etsy,£21.00,Resources,04/11/2021
42403,Bookerecomm,£48.73,Communities,02/11/2021
42403,Bookerecomm,£69.46,Communities,02/11/2021
36618,Amznmktplace,£14.24,Communities,03/11/2021
5167,Amznmktplace,£16.66,Communities,04/11/2021
37800,Sumup *tas Taxis And C,£120.00,Communities,02/11/2021
1833,Amznmktplace,£98.32,People,01/11/2021
18023,Tesco Gift Card,£10.00,People,02/11/2021
20847,Asda Stores Ltd,£35.00,People,03/11/2021
41069,Amazon.Co.Uk*u56rc8b65,£12.79,Resources,03/11/2021
51520,Www Anyvan Com,£46.67,Resources,04/11/2021
831,Thetrainline.Com,£17.28,Resources,05/11/2021
13579,Www.Nuneatonandbedwort,£310.90,People,01/11/2021
13722,Snappy Snaps Coventry,£12.49,People,04/11/2021
13826,Snappy Snaps Coventry,£12.49,People,04/11/2021
28857,Commercial Fuel So,£60.95,Communities,01/11/2021
28881,Commercial Fuel So,£81.95,Communities,01/11/2021
6501,Amznmktplace Amazon.Co,£183.17,Communities,01/11/2021
3368,Perdix Wildlife,£37.80,Communities,01/11/2021
8771,Amznmktplace,£33.31,Communities,04/11/2021
22073,Kunis Coffee,£3.51,People,02/11/2021
23492,Coles Nurseries,£364.00,Communities,01/11/2021
21041,One Stop 0376,£7.30,People,01/11/2021
22291,Currys Online,£237.49,People,05/11/2021
8556,Argos Ltd,£15.82,People,05/11/2021
18581,Starbucks,£7.94,People,01/11/2021
2585,Itsm.Zone,£862.00,Resources,04/11/2021
2710,Snap Inc Snap Snap Ads,£30.13,Resources,01/11/2021
40144,Google *ads2789853021,£400.00,Resources,01/11/2021
47501,Google Ads2789853021,£116.97,Resources,02/11/2021
8041,Snap Inc Snap Snap Ads,£23.71,Resources,02/11/2021
10567,Snap Inc Snap Snap Ads,£28.42,Resources,03/11/2021
17715,Snap Inc Snap Snap Ads,£31.43,Resources,04/11/2021
53716,Facebk *w4vqaatep2,£450.00,Resources,04/11/2021
18335,Ibis Styles Crewe - H9,£57.00,People,02/11/2021
38006,Www.Britishgas.Co.,£406.45,People,08/11/2021
18888,Www.Thebarcodewarehous,£63.98,People,01/11/2021
35830,Griggs,£39.92,Communities,01/11/2021
8953,Seton,£237.67,Communities,01/11/2021
12739,Seton,£59.47,Communities,03/11/2021
47141,Google Cloud Emea Limi,£290.51,Resources,02/11/2021
40833,123 Reg Ltd,£19.98,Resources,04/11/2021
46686,Www.Tenpin.Co.Uk,£126.45,People,03/11/2021
11651,Amazon.Co.Uk*263fo7ya5,£25.36,Resources,02/11/2021
6710,Amznmktplace,£62.46,Resources,02/11/2021
16094,Amazon.Co.Uk*p14952ui5,£25.36,Resources,03/11/2021
6171,Food Safety Uk,£90.00,People,01/11/2021
45525,Utility Warehouse,£166.67,People,03/11/2021
11104,Post Office Counter,£3.85,Communities,04/11/2021
26394,Www.Cscs.Uk.Com,£30.00,People,01/11/2021
7088,Customheat,£125.00,People,01/11/2021
38140,Ao Retail Limited,£270.00,People,04/11/2021
11396,Stagecoach Service,£111.33,People,08/11/2021
14480,Asda Groceries Online,£118.66,People,08/11/2021
14681,Asda Groceries Online,-£0.46,People,08/11/2021
34064,Screwfix Direct,£58.30,Communities,04/11/2021
28311,Dobbies,£9.64,People,04/11/2021
22725,Lidl Gb Stratford On,£1.48,People,02/11/2021
22725,Lidl Gb Stratford On,£11.53,People,02/11/2021
44094,Sainsburys S/mkts,£5.85,People,03/11/2021
2121,Reddiair Ltd,£349.00,Fire and Rescue,04/11/2021
18637,Starbucks,£7.94,People,01/11/2021
2126,Amznmktplace,£16.66,People,03/11/2021
3684,Amznmktplace,£12.51,People,03/11/2021
3815,Amz*office 2020,-£9.11,People,03/11/2021
5721,Amazon.Co.Uk*zi4gr0n35,£25.33,People,03/11/2021
4584,Amznmktplace,£16.48,Communities,02/11/2021
6028,Amznmktplace,£9.76,Communities,02/11/2021
31947,Screwfix Direct,£23.79,Fire and Rescue,01/11/2021
