Trans No,Supplier,Amount,Directorate,Pay Date
6941,123 Reg Ltd,£1.00,Resources,15/10/2021
12840,123 Reg Ltd,£23.98,Resources,25/10/2021
12843,123 Reg Ltd,£15.99,Resources,25/10/2021
22550,2maa027606356 Td E-Pmt,£75.00,People,11/10/2021
45745,Ab* Abebooks.Uk J277hr,£20.00,Communities,19/10/2021
49408,Ab* Abebooks.Uk J2ykvr,£15.93,Communities,20/10/2021
35869,Ab* Abebooks.Uk Jxbbze,£58.95,Communities,01/10/2021
45824,Ab* Abebooks.Uk Jxhp47,£9.20,Communities,05/10/2021
45988,Ab* Abebooks.Uk Jxsj9q,£6.19,Communities,12/10/2021
43200,Acraarn20211026121042,£10.84,Resources,27/10/2021
10198,Adobe Dw Creative Cld,£12.64,Resources,31/10/2021
15219,Agora Publications,£48.39,Communities,16/10/2021
15219,Agora Publications,£24.20,Communities,16/10/2021
15219,Agora Publications,£24.19,Communities,16/10/2021
4107,Airbnb * Hmpmbf4aqy,"£2,986.13",People,01/10/2021
867,Airbnb * Hmscyra8hq,£605.00,People,25/10/2021
42899,Aldi 13 772,£7.41,People,12/10/2021
43307,Aldi 13 772,£1.33,Resources,20/10/2021
43307,Aldi 13 772,£1.61,Resources,20/10/2021
30222,Aldi 17 772,£14.92,People,25/10/2021
34173,Aldi 17 772,£26.40,People,27/10/2021
38139,Aldi 40 772,£33.98,People,18/10/2021
33777,Aldi 61 772,£23.06,People,28/10/2021
32477,Aldi 89 772,£4.23,People,26/10/2021
32481,Aldi 89 772,£7.95,People,26/10/2021
32481,Aldi 89 772,£7.12,People,26/10/2021
6641,All Sofas,£401.40,People,26/10/2021
26033,Allpay *citizen Housin,£403.00,People,06/10/2021
7853,Alt Twrs Food Bev,£7.00,People,13/10/2021
8186,Alton Towers,£808.50,People,06/10/2021
7633,Amalfi Pizza,£22.49,People,27/10/2021
3522,Amazon Prime*bd5w09lp5,£6.66,Communities,11/10/2021
2721,Amazon Prime*fd7yd9j65,£7.99,Communities,08/10/2021
5692,Amazon Prime*hs8pg69l5,£7.99,People,27/10/2021
2486,Amazon Prime*py3l94z15,£7.99,Communities,03/10/2021
2533,Amazon.Co.Uk*057b13jq5,£38.95,Communities,02/10/2021
4079,Amazon.Co.Uk*110tc7815,£15.67,Communities,20/10/2021
38274,Amazon.Co.Uk*142by0bg5,£5.66,Fire and Rescue,01/10/2021
1284,Amazon.Co.Uk*224dz54f5,£27.27,Resources,17/10/2021
43027,Amazon.Co.Uk*2w88g1y44,£4.05,Communities,15/10/2021
336,Amazon.Co.Uk*2z5qr2vj5,£307.50,Communities,13/10/2021
3310,Amazon.Co.Uk*3710w4r55,£11.51,Communities,20/10/2021
17341,Amazon.Co.Uk*3c5521855,£4.08,Communities,11/10/2021
14305,Amazon.Co.Uk*3e7459nm5,£10.80,Resources,07/10/2021
1159,Amazon.Co.Uk*3f2ch41m5,£21.01,People,03/10/2021
13068,Amazon.Co.Uk*4u9ef7n35,£10.48,People,19/10/2021
15896,Amazon.Co.Uk*4v4kn47o5,£10.98,Communities,28/10/2021
16181,Amazon.Co.Uk*5p8zf6es5,£15.99,Communities,12/10/2021
1264,Amazon.Co.Uk*5r3o235i5,£13.32,Communities,30/10/2021
16826,Amazon.Co.Uk*5x63c9215,£85.44,Resources,19/10/2021
2277,Amazon.Co.Uk*615it3uu5,£19.02,Communities,03/10/2021
43417,Amazon.Co.Uk*701h07a05,£30.38,People,15/10/2021
3506,Amazon.Co.Uk*885c017d5,£15.67,Communities,17/10/2021
4051,Amazon.Co.Uk*8c0qc1lj5,£12.99,Communities,15/10/2021
17400,Amazon.Co.Uk*8i55t9dd5,£4.05,Communities,14/10/2021
3005,Amazon.Co.Uk*av2jt0845,£15.78,Resources,20/10/2021
4080,Amazon.Co.Uk*ax3xb3s25,£29.04,Fire and Rescue,05/10/2021
33253,Amazon.Co.Uk*ca1oy2m85,£6.29,Communities,16/10/2021
17055,Amazon.Co.Uk*cf4id6b55,£37.42,Communities,12/10/2021
18215,Amazon.Co.Uk*dr5th3zn5,£5.94,Communities,14/10/2021
7361,Amazon.Co.Uk*dy80j2q65,£29.04,Fire and Rescue,04/10/2021
43536,Amazon.Co.Uk*e52rm0fh5,£41.66,Resources,15/10/2021
22516,Amazon.Co.Uk*e69ej8kv5,£23.94,People,07/10/2021
4400,Amazon.Co.Uk*em0x383q5,£24.99,People,08/10/2021
1550,Amazon.Co.Uk*ev2ai2d95,£16.97,People,06/10/2021
3293,Amazon.Co.Uk*ez0j38hf5,£9.36,Communities,03/10/2021
25531,Amazon.Co.Uk*f19pw8985,£272.79,Communities,13/10/2021
1385,Amazon.Co.Uk*fp68i63t5,£61.78,People,31/10/2021
3838,Amazon.Co.Uk*go8yr0ld5,£26.66,People,07/10/2021
3056,Amazon.Co.Uk*hu7lq4hn5,£36.76,Fire and Rescue,17/10/2021
181,Amazon.Co.Uk*j11qi90a5,£20.97,Communities,21/10/2021
8782,Amazon.Co.Uk*j74le6iq5,£7.60,Communities,19/10/2021
14748,Amazon.Co.Uk*jh2h55gy5,£16.28,Communities,11/10/2021
14748,Amazon.Co.Uk*jh2h55gy5,£4.16,Communities,11/10/2021
11752,Amazon.Co.Uk*ju0i71be5,£13.73,Communities,26/10/2021
420,Amazon.Co.Uk*jw69375m5,£187.47,Communities,21/10/2021
7040,Amazon.Co.Uk*kj0872845,£69.37,Resources,06/10/2021
37158,Amazon.Co.Uk*kl2569k15,£108.68,Resources,12/10/2021
801,Amazon.Co.Uk*l26hp8gz5,£39.38,Resources,07/10/2021
950,Amazon.Co.Uk*lz00i50a5,£11.72,Resources,21/10/2021
1236,Amazon.Co.Uk*m01i821y5,£13.73,Communities,24/10/2021
4424,Amazon.Co.Uk*md2yl8075,£29.04,Fire and Rescue,01/10/2021
138,Amazon.Co.Uk*mu5vg9h95,£15.99,Communities,20/10/2021
19597,Amazon.Co.Uk*nu4yi65l5,£22.42,Communities,13/10/2021
24179,Amazon.Co.Uk*nv3pn4r65,£63.90,People,19/10/2021
2857,Amazon.Co.Uk*o724162u5,£33.33,Communities,30/10/2021
2242,Amazon.Co.Uk*od50o9my5,£7.57,Communities,20/10/2021
2970,Amazon.Co.Uk*pb4qh7jq5,£21.01,People,03/10/2021
18025,Amazon.Co.Uk*pn3wz6mz5,£133.32,Resources,14/10/2021
3486,Amazon.Co.Uk*pt5d41815,£20.88,Communities,21/10/2021
17849,Amazon.Co.Uk*pu1r26lq5,£29.84,People,06/10/2021
4278,Amazon.Co.Uk*qy2fl37i5,£24.99,People,08/10/2021
16929,Amazon.Co.Uk*r05g22nc5,£4.05,Communities,14/10/2021
13112,Amazon.Co.Uk*rc8ji9vw5,£17.31,Fire and Rescue,20/10/2021
7896,Amazon.Co.Uk*rl56p6gj5,£33.33,Communities,25/10/2021
2266,Amazon.Co.Uk*rv9tw9i95,£29.04,Fire and Rescue,14/10/2021
5471,Amazon.Co.Uk*s38x71a95,£24.99,People,17/10/2021
21740,Amazon.Co.Uk*sk3614vb5,£13.82,Communities,07/10/2021
14933,Amazon.Co.Uk*so9ov0ta5,£47.49,People,22/10/2021
12348,Amazon.Co.Uk*t153691d5,£8.80,Fire and Rescue,18/10/2021
4814,Amazon.Co.Uk*t170q6ac5,£10.84,Communities,03/10/2021
1355,Amazon.Co.Uk*tq0tj7l35,£106.80,Resources,18/10/2021
13439,Amazon.Co.Uk*u82t15d55,£5.25,Communities,07/10/2021
24107,Amazon.Co.Uk*uz7ei7x95,£58.32,Communities,06/10/2021
15169,Amazon.Co.Uk*ve9dp4245,£29.04,Fire and Rescue,07/10/2021
5638,Amazon.Co.Uk*w23kn6dc5,£19.98,Communities,14/10/2021
39121,Amazon.Co.Uk*xb36v5hc5,£7.65,Communities,21/10/2021
9644,Amazon.Co.Uk*xd0tv4475,£29.04,Fire and Rescue,13/10/2021
10872,Amazon.Co.Uk*xd0z07jl5,£671.82,Communities,18/10/2021
537,Amazon.Co.Uk*xe9lf4zw5,£23.76,Communities,31/10/2021
10986,Amazon.Co.Uk*xs8m55tk5,£234.96,Resources,18/10/2021
4047,Amazon.Co.Uk*y442q3nb5,£52.98,People,02/10/2021
4774,Amazon.Co.Uk*y985r38k5,£23.68,Communities,09/10/2021
3171,Amazon.Co.Uk*yg0lz9ih5,£21.01,People,03/10/2021
3357,Amazon.Co.Uk*yj7494g25,£24.99,People,08/10/2021
38852,Amazon.Co.Uk*z02bj4cf5,£224.73,Resources,21/10/2021
2621,Amz*amazon.Co.Uk,-£29.04,Fire and Rescue,07/10/2021
9450,Amz*amazon.Co.Uk,-£106.80,Resources,20/10/2021
2554,Amz*amazon.Co.Uk,-£34.85,Fire and Rescue,20/10/2021
2953,Amz*amazon.Co.Uk,-£69.70,Fire and Rescue,20/10/2021
1693,Amz*dependable Trading,-£17.70,Communities,14/10/2021
7957,Amz*green Eu,-£23.24,Resources,01/10/2021
12,Amz*kidzmotion Ltd,-£41.66,Fire and Rescue,08/10/2021
9841,Amzn Digital*an0307925,£7.91,Communities,29/10/2021
38139,Amznmktplace,£20.73,People,01/10/2021
3460,Amznmktplace,£1.32,Communities,01/10/2021
8113,Amznmktplace,£2.73,Communities,01/10/2021
8937,Amznmktplace,£24.99,Resources,01/10/2021
8165,Amznmktplace,£19.98,People,01/10/2021
2517,Amznmktplace,£36.88,Resources,01/10/2021
3899,Amznmktplace,£3.99,Communities,02/10/2021
4218,Amznmktplace,£39.15,Communities,03/10/2021
4297,Amznmktplace,£27.97,Resources,04/10/2021
2675,Amznmktplace,£349.98,People,04/10/2021
12198,Amznmktplace,£223.73,Communities,05/10/2021
4385,Amznmktplace,£99.11,Communities,05/10/2021
3618,Amznmktplace,£12.58,Resources,05/10/2021
477,Amznmktplace,£241.62,People,05/10/2021
