organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1007,Nicholas Chamberlaine School (Academy),,Bulkington Road,Bedworth,CV12 9EA,OSGB36,436810,286930,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,13046.52,0,Education and learning,23,To Follow,n/a,Not Currently Available,3945129.14,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1009,St Michael's C.E. Primary School (Academy),,Hazel Grove,Bedworth,CV12 9DA,OSGB36,436770,287270,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2563.02,0,Education and learning,23,To Follow,n/a,Not Currently Available,462273.81,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1012,St Francis Catholic Primary School (Academy),,Rye Piece Ringway,Bedworth,CV12 8JN,OSGB36,436100,287330,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1668.34,0,Education and learning,23,To Follow,n/a,Not Currently Available,272052.69,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1013,Bedworth Youth Centre,Withheld,Withheld,Withheld,CV12,OSGB36,0,0,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Vacant,n/a,Land with a permanent building,400.74,0,"Government, citizens and rights",42,To Follow,n/a,Not Currently Available,78395.85,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,1014,Exhall Grange School & Science College,,Easter Way,"Off Winding House Lane, Bedworth",CV7 9HP,OSGB36,433445,284175,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,7836.63,0,Education and learning,23,To Follow,n/a,Not Currently Available,1499260.72,Not Currently Available,F,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1015,Exhall Cedars Infant School,,Trenance Road,"Exhall, Coventry",CV7 9FJ,OSGB36,435550,285860,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1428.41,0,Education and learning,23,To Follow,n/a,Not Currently Available,510835.97,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1017,Ash Green School & Arts College (Academy),,Ash Green Lane,"Ash Green, Coventry",CV7 9AH,OSGB36,433520,284970,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,7725.12,0,Education and learning,23,To Follow,n/a,Not Currently Available,2621226.76,Not Currently Available,"B, E",To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1018,Race Leys Infant School,,Hurst Road,Bedworth,CV12 8AD,OSGB36,435740,287430,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1479.02,0,Education and learning,23,To Follow,n/a,Not Currently Available,357756.49,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1019,Race Leys Junior (Academy) School,,Barton Road,Bedworth,CV12 8HG,OSGB36,435610,287570,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1544.03,0,Education and learning,23,To Follow,n/a,Not Currently Available,138015.63,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1021,Bedworth Heath Nursery & Children's Centre (Maint),,Glebe Avenue,Bedworth,CV12 0DP,OSGB36,434270,286280,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,370.92,0,Education and learning,23,To Follow,n/a,Not Currently Available,101857.26,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1022,The Canons CofE (Voluntary Aided) Primary School,,Derwent Road,Bedworth,CV12 8RT,OSGB36,435450,286760,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,3477.64,0,Education and learning,23,To Follow,n/a,Not Currently Available,1612464.49,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1028,All Saints CE Infant Primary School (Aademy),,Bulkington Road,Bedworth,CV12 9DG,OSGB36,436350,286830,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,956.2,0,Education and learning,23,To Follow,n/a,Not Currently Available,483607.73,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,200002000000,1029,Exhall Junior School,,Hayes Lane,"Exhall, Coventry",CV7 9NS,OSGB36,434850,285750,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1692.63,0,Education and learning,23,To Follow,n/a,Not Currently Available,613516.12,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10000227516,1033,Bedworth Library & Information Centre,18,High Street,Bedworth,CV12 8NF,OSGB36,435990,286840,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,741.31,0,Leisure and culture,72,To Follow,n/a,Not Currently Available,56924.35,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1037,Warwickshire Fire & Rescue Training & Dev. Centre,Withheld,Withheld,Withheld,CV12,OSGB36,0,0,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Vacant,n/a,Land with a permanent building,640.22,0,Community safety,16,To Follow,n/a,Not Currently Available,229160.24,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1050,Bedworth Fire Station,,Park Road,Bedworth,CV12 8LB,OSGB36,435720,286900,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,520.92,0,Community safety,16,To Follow,n/a,Not Currently Available,142429.38,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1061,All Saints CE Primary School Juniors (Academy),,Coalpit Fields Road,Bedworth,CV12 9HN,OSGB36,436308,286643,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,911.81,0,Education and learning,23,To Follow,n/a,Not Currently Available,55279.5,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1066,Bedworth Heath Community Centre,179-181,Smorrall Lane,Bedworth,CV12 0JP,OSGB36,433868,286403,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Leasehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,192.6,0,Education and learning,23,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10007773666,1074,Bulkington Village Centre,,School Road,"Bulkington, Bedworth",CV12 9JB,OSGB36,439260,286760,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1518.1,0,"Licences, permits and permissions",82,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1075,St James CE Junior School (Academy),,Barbridge Road,"Bulkington, Bedworth",CV12 9PF,OSGB36,439260,286880,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2045.97,0,Education and learning,23,To Follow,n/a,Not Currently Available,551027.15,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,1076,Arden Forest Infant School,,Weston Lane,"Bulkington, Bedworth",CV12 9RT,OSGB36,438570,287130,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1282.11,0,Education and learning,23,To Follow,n/a,Not Currently Available,777554.09,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
