unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
"100071399153","1007","Nicholas Chamberlaine School (Academy)","","Bulkington Road","Bedworth","CV12 9EA",436810,286930,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",16693.69,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1300914.12,"Not Currently Available","D"
"100071497560","1009","St Michael's C.E. Primary School (Academy)","","Hazel Grove","Bedworth","CV12 9DA",436770,287270,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2240.58,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",268514.15,"Not Currently Available","C"
"10007777465","1010","St Michael's Nursery & Child. Centre (Bedworth CC)","","Hazel Grove","Bedworth","CV12 9DA",436670,287230,"Leasehold","Occupied by the Local Authority","Land with a permanent building",1204.00,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",85982.30,"Not Currently Available","D"
"100071497269","1012","St Francis Catholic Primary School (Academy)","","Rye Piece Ringway","Bedworth","CV12 8JN",436100,287330,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1668.34,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",310479.60,"Not Currently Available","D"
"100071497190","1013","Bedworth Youth Centre","","Croxhall Street","Bedworth","CV12 8JB",436040,287020,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",400.74,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",75525.47,"Not Currently Available","n/a"
"100071519618","1014","Exhall Grange School & Science College","","Easter Way","Off Winding House Lane, Bedworth","CV7 9HP",433445,284175,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",7789.44,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1473210.14,"Not Currently Available","F"
"100071399065","1015","Exhall Cedars Infant School","","Trenance Road","Exhall, Coventry","CV7 9FJ",435550,285860,"Freehold","Occupied by the Local Authority","Land with a permanent building",1428.41,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",638486.10,"Not Currently Available","C"
"100071399028","1017","Ash Green School & Arts College (Academy)","","Ash Green Lane","Ash Green, Coventry","CV7 9AH",433520,284970,"Other","Vested in Trustees","Land with a permanent building",7725.12,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",745538.61,"Not Currently Available","B, E"
"100071496964","1018","Race Leys Infant School","","Hurst Road","Bedworth","CV12 8AD",435740,287430,"Freehold","Occupied by the Local Authority","Land with a permanent building",1545.60,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",278179.82,"Not Currently Available","D"
"100071399129","1019","Race Leys Junior (Academy) School","","Barton Road","Bedworth","CV12 8HG",435610,287570,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1534.43,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",132945.91,"Not Currently Available","D"
