unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
1.00071E+11,1007,Nicholas Chamberlaine School (Academy),,Bulkington Road,Bedworth,CV12 9EA,436810,286930,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,16693.69,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,3945129.14,Not Currently Available,D
1.00071E+11,1009,St Michael's C.E. Primary School (Academy),,Hazel Grove,Bedworth,CV12 9DA,436770,287270,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2563.02,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,462273.81,Not Currently Available,C
1.00071E+11,1012,St Francis Catholic Primary School (Academy),,Rye Piece Ringway,Bedworth,CV12 8JN,436100,287330,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1668.34,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,272052.69,Not Currently Available,D
1.00071E+11,1013,Bedworth Youth Centre,Withheld,Withheld,Withheld,CV12,0,0,Freehold,Vacant,Land with a permanent building,400.74,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,78395.85,Not Currently Available,n/a
1.00072E+11,1014,Exhall Grange School & Science College,,Easter Way,"Off Winding House Lane, Bedworth",CV7 9HP,433445,284175,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,7836.63,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1499260.72,Not Currently Available,F
1.00071E+11,1015,Exhall Cedars Infant School,,Trenance Road,"Exhall, Coventry",CV7 9FJ,435550,285860,Freehold,Occupied by the Local Authority,Land with a permanent building,1428.41,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,510835.97,Not Currently Available,C
1.00071E+11,1017,Ash Green School & Arts College (Academy),,Ash Green Lane,"Ash Green, Coventry",CV7 9AH,433520,284970,Other,Vested in Trustees,Land with a permanent building,7725.12,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,2621226.76,Not Currently Available,"B, E"
1.00071E+11,1018,Race Leys Infant School,,Hurst Road,Bedworth,CV12 8AD,435740,287430,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1479.02,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,357756.49,Not Currently Available,D
1.00071E+11,1019,Race Leys Junior (Academy) School,,Barton Road,Bedworth,CV12 8HG,435610,287570,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1544.03,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,138015.63,Not Currently Available,D
1.00071E+11,1021,Bedworth Heath Nursery & Children's Centre (Maint),,Glebe Avenue,Bedworth,CV12 0DP,434270,286280,Freehold,Occupied by the Local Authority,Land with a permanent building,370.92,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,52414.43,Not Currently Available,n/a
1.00071E+11,1022,The Canons CofE (Voluntary Aided) Primary School,,Derwent Road,Bedworth,CV12 8RT,435450,286760,Freehold,Occupied by the Local Authority,Land with a permanent building,3477.64,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1612464.49,Not Currently Available,C
1.00071E+11,1028,All Saints CE Infant Primary School (Aademy),,Bulkington Road,Bedworth,CV12 9DG,436350,286830,Other,Vested in Trustees,Land with a permanent building,956.2,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,483607.73,Not Currently Available,E
2.00002E+11,1029,Exhall Junior School,,Hayes Lane,"Exhall, Coventry",CV7 9NS,434850,285750,Freehold,Occupied by the Local Authority,Land with a permanent building,1692.63,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,613516.12,Not Currently Available,E
10000227516,1033,Bedworth Library & Information Centre,18,High Street,Bedworth,CV12 8NF,435990,286840,Freehold,Occupied by the Local Authority,Land with a permanent building,741.31,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,56924.35,Not Currently Available,D
1.00071E+11,1037,Warwickshire Fire & Rescue Training & Dev. Centre,46,Leicester Road,Bedworth,CV12 8AG,435810,287440,Freehold,Occupied by the Local Authority,Land with a permanent building,640.22,Sq.m,Community safety,To Follow,n/a,Not Currently Available,229160.24,Not Currently Available,E
1.00071E+11,1050,Bedworth Fire Station,,Park Road,Bedworth,CV12 8LB,435720,286900,Freehold,Occupied by the Local Authority,Land with a permanent building,520.92,Sq.m,Community safety,To Follow,n/a,Not Currently Available,142429.38,Not Currently Available,C
1.00071E+11,1061,All Saints CE Primary School Juniors (Academy),,Coalpit Fields Road,Bedworth,CV12 9HN,436308,286643,Other,Vested in Trustees,Land with a permanent building,911.81,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,55279.5,Not Currently Available,D
1.00071E+11,1066,Bedworth Heath Community Centre,179-181,Smorrall Lane,Bedworth,CV12 0JP,433868,286403,Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,192.6,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10007773666,1074,Bulkington Village Centre,,School Road,"Bulkington, Bedworth",CV12 9JB,439260,286760,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1518.1,Sq.m,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,1075,St James CE Junior School (Academy),,Barbridge Road,"Bulkington, Bedworth",CV12 9PF,439260,286880,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2045.97,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,551027.15,Not Currently Available,D
1.00071E+11,1076,Arden Forest Infant School,,Weston Lane,"Bulkington, Bedworth",CV12 9RT,438570,287130,Freehold,Occupied by the Local Authority,Land with a permanent building,1282.11,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,777554.09,Not Currently Available,D
1.00071E+11,1077,Bulkington Community Library,,School Road,"Bulkington, Bedworth",CV12 9JB,439230,286690,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,266.16,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,10552.77,Not Currently Available,n/a
1.00072E+11,1080,The Keresley Teaching & Learning Centre,,Bennetts Road North,"Keresley End, Keresley",CV7 8LA,431600,285100,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1196.76,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,540482.74,Not Currently Available,n/a
1.00071E+11,1081,Keresley Newland Primary School (Academy),,Grove Lane,"Keresley End, Coventry",CV7 8JZ,431640,285200,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1918.88,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,483037.8,Not Currently Available,D
