organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399153","1007","Nicholas Chamberlaine School (Academy)","","Bulkington Road","Bedworth","CV12 9EA","OSGB36",436810,286930,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",16693.69,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",3945129.14,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497560","1009","St Michael's C.E. Primary School (Academy)","","Hazel Grove","Bedworth","CV12 9DA","OSGB36",436770,287270,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2563.02,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",462273.81,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007777465","1010","St Michael's Nursery & Child. Centre (Bedworth CC)","","Hazel Grove","Bedworth","CV12 9DA","OSGB36",436670,287230,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",1249.51,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",89258.37,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497269","1012","St Francis Catholic Primary School (Academy)","","Rye Piece Ringway","Bedworth","CV12 8JN","OSGB36",436100,287330,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1668.34,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",322314.02,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071497190","1013","Bedworth Youth Centre","","Croxhall Street","Bedworth","CV12 8JB","OSGB36",436040,287020,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",400.74,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",78395.85,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071519618","1014","Exhall Grange School & Science College","","Easter Way","Off Winding House Lane, Bedworth","CV7 9HP","OSGB36",433445,284175,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",7789.44,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1566328.35,"Not Currently Available","F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399065","1015","Exhall Cedars Infant School","","Trenance Road","Exhall, Coventry","CV7 9FJ","OSGB36",435550,285860,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1428.41,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",536880.13,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399028","1017","Ash Green School & Arts College (Academy)","","Ash Green Lane","Ash Green, Coventry","CV7 9AH","OSGB36",433520,284970,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",7725.12,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",2621226.76,"Not Currently Available","B, E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496964","1018","Race Leys Infant School","","Hurst Road","Bedworth","CV12 8AD","OSGB36",435740,287430,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1479.02,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",329397.99,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399129","1019","Race Leys Junior (Academy) School","","Barton Road","Bedworth","CV12 8HG","OSGB36",435610,287570,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1544.03,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",138015.63,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
